month	day	value
9.0	2.0	70.78260869565217
9.0	3.0	103.5909090909091
9.0	4.0	236.375
9.0	5.0	176.63636363636363
9.0	6.0	173.3913043478261
9.0	7.0	62.80952380952381
9.0	8.0	65.23809523809524
9.0	9.0	36.0
9.0	10.0	50.208333333333336
9.0	11.0	65.0909090909091
9.0	12.0	107.42105263157895
9.0	13.0	167.3913043478261
9.0	14.0	143.70833333333334
9.0	15.0	223.91666666666666
9.0	16.0	264.7391304347826
9.0	17.0	111.04347826086956
9.0	18.0	88.83333333333333
9.0	19.0	111.26086956521739
9.0	20.0	75.17391304347827
9.0	21.0	67.33333333333333
9.0	22.0	82.82608695652173
9.0	23.0	86.20833333333333
9.0	24.0	80.375
9.0	25.0	79.125
9.0	26.0	70.3913043478261
9.0	27.0	48.77272727272727
9.0	28.0	58.73913043478261
9.0	29.0	51.56521739130435
9.0	30.0	98.3913043478261
10.0	0.0	205.34782608695653
10.0	1.0	208.42857142857142
10.0	2.0	187.7391304347826
10.0	3.0	209.7826086956522
10.0	4.0	154.1818181818182
10.0	5.0	46.4
10.0	6.0	51.916666666666664
10.0	7.0	121.33333333333333
10.0	8.0	145.55
10.0	9.0	163.08695652173913
10.0	10.0	166.1304347826087
10.0	11.0	194.29166666666666
10.0	12.0	206.8095238095238
10.0	13.0	236.125
10.0	14.0	188.625
10.0	15.0	67.33333333333333
10.0	16.0	82.83333333333333
10.0	17.0	67.04347826086956
10.0	18.0	96.70833333333333
10.0	19.0	92.375
10.0	20.0	71.41666666666667
10.0	21.0	56.041666666666664
10.0	22.0	35.0
10.0	23.0	58.130434782608695
10.0	24.0	132.91304347826087
10.0	25.0	39.45454545454545
10.0	26.0	149.66666666666666
10.0	27.0	175.91304347826087
10.0	28.0	197.54545454545453
10.0	29.0	330.0
0.0	0.0	0.0
11.0	0.0	231.0952380952381
11.0	1.0	95.0
11.0	2.0	43.47826086956522
11.0	3.0	47.69565217391305
11.0	4.0	71.29166666666667
11.0	5.0	112.52173913043478
11.0	6.0	142.27272727272728
11.0	7.0	250.5
11.0	8.0	340.2857142857143
11.0	9.0	266.42857142857144
11.0	10.0	65.0
11.0	11.0	158.5909090909091
11.0	12.0	170.11111111111111
11.0	13.0	188.69230769230768
11.0	14.0	44.25
11.0	15.0	36.708333333333336
11.0	16.0	66.43478260869566
11.0	17.0	136.33333333333334
11.0	18.0	110.16666666666667
11.0	19.0	174.58333333333334
11.0	20.0	318.7916666666667
11.0	21.0	346.4347826086956
11.0	22.0	373.25
11.0	23.0	218.75
11.0	24.0	230.16666666666666
11.0	25.0	155.20833333333334
11.0	26.0	79.04166666666667
11.0	27.0	144.625
11.0	28.0	272.4166666666667
11.0	29.0	274.2083333333333
11.0	30.0	230.5
12.0	0.0	243.875
12.0	1.0	379.0416666666667
12.0	2.0	230.625
12.0	3.0	104.91666666666667
12.0	4.0	73.16666666666667
12.0	5.0	89.5
12.0	6.0	55.583333333333336
12.0	7.0	58.666666666666664
12.0	8.0	156.5
12.0	9.0	113.54166666666667
12.0	10.0	69.16666666666667
12.0	11.0	60.166666666666664
12.0	12.0	49.208333333333336
12.0	13.0	119.58333333333333
12.0	14.0	203.45833333333334
12.0	15.0	103.25
12.0	16.0	88.125
12.0	17.0	69.58333333333333
12.0	18.0	69.04166666666667
12.0	19.0	98.83333333333333
12.0	20.0	113.54166666666667
12.0	21.0	69.66666666666667
12.0	22.0	34.416666666666664
12.0	23.0	41.166666666666664
12.0	24.0	66.125
12.0	25.0	78.95833333333333
12.0	26.0	107.54166666666667
12.0	27.0	142.29166666666666
12.0	28.0	72.75
12.0	29.0	82.04166666666667
12.0	30.0	64.45833333333333
13.0	0.0	64.58333333333333
13.0	1.0	73.95833333333333
13.0	2.0	118.66666666666667
13.0	3.0	60.875
13.0	4.0	49.291666666666664
13.0	5.0	58.916666666666664
13.0	6.0	190.20833333333334
13.0	7.0	212.08333333333334
13.0	8.0	70.33333333333333
13.0	9.0	127.08333333333333
13.0	10.0	141.75
13.0	11.0	202.08333333333334
13.0	12.0	47.833333333333336
13.0	13.0	38.0
13.0	14.0	37.125
13.0	15.0	50.666666666666664
13.0	16.0	59.041666666666664
13.0	17.0	61.208333333333336
13.0	18.0	58.875
13.0	19.0	44.708333333333336
13.0	20.0	93.91666666666667
13.0	21.0	152.41666666666666
13.0	22.0	60.0
13.0	23.0	77.5
13.0	24.0	78.0
13.0	25.0	81.5
13.0	26.0	79.20833333333333
13.0	27.0	87.21739130434783
13.0	28.0	45.0
0.0	0.0	0.0
0.0	0.0	0.0
14.0	0.0	121.66666666666667
14.0	1.0	238.54166666666666
14.0	2.0	315.6666666666667
14.0	3.0	201.125
14.0	4.0	184.56521739130434
14.0	5.0	188.0
14.0	6.0	110.91304347826087
14.0	7.0	51.47826086956522
14.0	8.0	43.5
14.0	9.0	49.91304347826087
14.0	10.0	66.33333333333333
14.0	11.0	112.0
14.0	12.0	112.86363636363636
14.0	13.0	114.9090909090909
14.0	14.0	128.875
14.0	15.0	240.83333333333334
14.0	16.0	174.125
14.0	17.0	222.6086956521739
14.0	18.0	99.33333333333333
14.0	19.0	91.0
14.0	20.0	115.95833333333333
14.0	21.0	122.66666666666667
14.0	22.0	66.33333333333333
14.0	23.0	75.375
14.0	24.0	78.125
14.0	25.0	74.0
14.0	26.0	68.08333333333333
14.0	27.0	120.04166666666667
14.0	28.0	80.8695652173913
14.0	29.0	88.04166666666667
14.0	30.0	163.43478260869566
15.0	0.0	110.83333333333333
15.0	1.0	45.666666666666664
15.0	2.0	81.20833333333333
15.0	3.0	86.375
