month	day	value
16.0	0.0	242.7391304347826
16.0	1.0	80.875
16.0	2.0	56.375
16.0	3.0	53.833333333333336
16.0	4.0	95.04347826086956
16.0	5.0	130.83333333333334
16.0	6.0	49.25
16.0	7.0	90.66666666666667
16.0	8.0	58.041666666666664
16.0	9.0	62.708333333333336
16.0	10.0	191.04166666666666
16.0	11.0	67.45833333333333
16.0	12.0	58.5
16.0	13.0	58.04347826086956
16.0	14.0	56.23809523809524
16.0	15.0	55.04761904761905
16.0	16.0	103.43478260869566
16.0	17.0	103.04166666666667
16.0	18.0	138.8181818181818
16.0	19.0	141.75
16.0	20.0	121.33333333333333
16.0	21.0	100.85
16.0	22.0	105.71428571428571
16.0	23.0	54.294117647058826
16.0	24.0	57.53846153846154
16.0	25.0	59.583333333333336
16.0	26.0	84.5
16.0	27.0	96.875
16.0	28.0	66.20833333333333
16.0	29.0	127.58333333333333
16.0	30.0	95.20833333333333
17.0	0.0	71.83333333333333
17.0	1.0	106.25
17.0	2.0	114.70833333333333
17.0	3.0	138.625
17.0	4.0	120.66666666666667
17.0	5.0	127.04166666666667
17.0	6.0	87.58333333333333
17.0	7.0	160.16666666666666
17.0	8.0	163.0
17.0	9.0	94.83333333333333
17.0	10.0	42.5
17.0	11.0	116.52173913043478
17.0	12.0	66.66666666666667
17.0	13.0	54.333333333333336
17.0	14.0	49.041666666666664
17.0	15.0	61.333333333333336
17.0	16.0	52.375
17.0	17.0	87.41666666666667
17.0	18.0	112.52173913043478
17.0	19.0	145.41666666666666
17.0	20.0	135.41666666666666
17.0	21.0	94.45833333333333
17.0	22.0	108.16666666666667
17.0	23.0	38.916666666666664
17.0	24.0	41.166666666666664
17.0	25.0	88.75
17.0	26.0	83.625
17.0	27.0	94.3529411764706
17.0	28.0	145.08333333333334
17.0	29.0	100.125
0.0	0.0	0.0
18.0	0.0	48.958333333333336
18.0	1.0	90.66666666666667
18.0	2.0	108.95833333333333
18.0	3.0	178.04166666666666
18.0	4.0	134.91666666666666
18.0	5.0	124.95833333333333
18.0	6.0	151.45833333333334
18.0	7.0	126.54166666666667
18.0	8.0	114.41666666666667
18.0	9.0	139.5
18.0	10.0	119.95833333333333
18.0	11.0	56.375
18.0	12.0	56.25
18.0	13.0	62.75
18.0	14.0	50.375
18.0	15.0	51.0
18.0	16.0	107.79166666666667
18.0	17.0	141.75
18.0	18.0	128.91666666666666
18.0	19.0	57.291666666666664
18.0	20.0	38.583333333333336
18.0	21.0	103.27272727272727
18.0	22.0	163.875
18.0	23.0	90.58333333333333
18.0	24.0	66.20833333333333
18.0	25.0	46.083333333333336
18.0	26.0	97.16666666666667
18.0	27.0	79.42857142857143
18.0	28.0	159.85714285714286
18.0	29.0	199.61904761904762
18.0	30.0	73.66666666666667
19.0	0.0	90.625
19.0	1.0	88.95238095238095
19.0	2.0	101.91666666666667
19.0	3.0	141.0
19.0	4.0	90.29166666666667
19.0	5.0	133.375
19.0	6.0	43.791666666666664
19.0	7.0	62.791666666666664
19.0	8.0	84.95833333333333
19.0	9.0	109.83333333333333
19.0	10.0	114.33333333333333
19.0	11.0	84.52173913043478
19.0	12.0	36.375
19.0	13.0	50.708333333333336
19.0	14.0	42.041666666666664
19.0	15.0	53.583333333333336
19.0	16.0	82.625
19.0	17.0	99.79166666666667
19.0	18.0	39.5
19.0	19.0	89.70833333333333
19.0	20.0	107.25
19.0	21.0	88.91304347826087
19.0	22.0	93.66666666666667
19.0	23.0	106.125
19.0	24.0	43.22727272727273
19.0	25.0	31.208333333333332
19.0	26.0	39.375
19.0	27.0	34.125
19.0	28.0	48.083333333333336
19.0	29.0	70.83333333333333
19.0	30.0	41.291666666666664
20.0	0.0	33.166666666666664
20.0	1.0	33.875
20.0	2.0	42.583333333333336
20.0	3.0	112.45833333333333
20.0	4.0	49.833333333333336
20.0	5.0	38.0
20.0	6.0	73.33333333333333
20.0	7.0	41.47826086956522
20.0	8.0	40.416666666666664
20.0	9.0	38.708333333333336
20.0	10.0	53.583333333333336
20.0	11.0	47.333333333333336
20.0	12.0	115.25
20.0	13.0	136.52173913043478
20.0	14.0	96.375
20.0	15.0	183.95833333333334
20.0	16.0	61.5
20.0	17.0	32.84615384615385
20.0	18.0	27.82608695652174
20.0	19.0	38.869565217391305
20.0	20.0	89.08333333333333
20.0	21.0	132.625
20.0	22.0	160.41666666666666
20.0	23.0	147.375
20.0	24.0	210.54166666666666
20.0	25.0	80.0
20.0	26.0	44.958333333333336
20.0	27.0	30.125
20.0	28.0	75.78260869565217
20.0	29.0	128.83333333333334
0.0	0.0	0.0
21.0	0.0	214.95833333333334
21.0	1.0	234.33333333333334
21.0	2.0	160.04166666666666
21.0	3.0	56.40909090909091
21.0	4.0	76.78260869565217
21.0	5.0	97.33333333333333
21.0	6.0	56.291666666666664
21.0	7.0	29.75
21.0	8.0	55.25
21.0	9.0	117.91666666666667
21.0	10.0	154.83333333333334
21.0	11.0	103.66666666666667
21.0	12.0	193.83333333333334
21.0	13.0	292.125
21.0	14.0	241.54166666666666
21.0	15.0	158.0
21.0	16.0	83.91666666666667
21.0	17.0	154.875
21.0	18.0	276.0
21.0	19.0	126.66666666666667
21.0	20.0	60.708333333333336
21.0	21.0	24.291666666666668
21.0	22.0	45.041666666666664
21.0	23.0	88.20833333333333
21.0	24.0	128.58333333333334
21.0	25.0	71.42105263157895
21.0	26.0	52.541666666666664
21.0	27.0	28.208333333333332
21.0	28.0	51.38095238095238
21.0	29.0	66.5
21.0	30.0	29.875
22.0	0.0	62.583333333333336
22.0	1.0	132.54166666666666
22.0	2.0	227.79166666666666
22.0	3.0	293.0833333333333
22.0	4.0	229.75
22.0	5.0	96.91666666666667
22.0	6.0	57.75
22.0	7.0	55.791666666666664
22.0	8.0	190.75
22.0	9.0	174.07692307692307
22.0	10.0	104.75
22.0	11.0	99.95833333333333
22.0	12.0	125.54166666666667
22.0	13.0	78.16666666666667
22.0	14.0	88.18181818181819
22.0	15.0	129.7826086956522
22.0	16.0	151.91666666666666
22.0	17.0	239.54166666666666
22.0	18.0	162.95833333333334
22.0	19.0	73.65217391304348
22.0	20.0	26.875
22.0	21.0	28.166666666666668
22.0	22.0	34.125
22.0	23.0	94.75
22.0	24.0	195.125
22.0	25.0	306.375
22.0	26.0	79.25
22.0	27.0	81.95833333333333
22.0	28.0	128.20833333333334
22.0	29.0	123.0
0.0	0.0	0.0
23.0	0.0	47.291666666666664
23.0	1.0	123.04166666666667
23.0	2.0	232.33333333333334
23.0	3.0	290.95238095238096
23.0	4.0	77.66666666666667
23.0	5.0	109.88235294117646
23.0	6.0	159.47826086956522
23.0	7.0	132.25
23.0	8.0	37.916666666666664
23.0	9.0	67.29166666666667
23.0	10.0	204.83333333333334
23.0	11.0	270.65
23.0	12.0	79.47619047619048
23.0	13.0	40.333333333333336
23.0	14.0	51.25
23.0	15.0	135.66666666666666
23.0	16.0	229.54166666666666
23.0	17.0	270.0
23.0	18.0	265.2916666666667
23.0	19.0	411.95238095238096
23.0	20.0	429.95652173913044
23.0	21.0	151.35294117647058
23.0	22.0	47.041666666666664
23.0	23.0	155.54166666666666
23.0	24.0	191.83333333333334
23.0	25.0	64.45833333333333
23.0	26.0	54.375
23.0	27.0	85.9090909090909
23.0	28.0	75.54545454545455
23.0	29.0	249.33333333333334
23.0	30.0	329.5652173913044
24.0	0.0	454.2105263157895
24.0	1.0	220.9
24.0	2.0	338.5833333333333
24.0	3.0	393.8333333333333
24.0	4.0	276.125
24.0	5.0	245.08333333333334
24.0	6.0	211.125
24.0	7.0	54.875
24.0	8.0	49.52173913043478
24.0	9.0	44.291666666666664
24.0	10.0	77.0
24.0	11.0	59.125
24.0	12.0	30.304347826086957
24.0	13.0	35.541666666666664
24.0	14.0	72.70833333333333
24.0	15.0	123.70833333333333
24.0	16.0	176.0
24.0	17.0	53.875
24.0	18.0	85.125
24.0	19.0	40.708333333333336
24.0	20.0	53.75
24.0	21.0	36.333333333333336
24.0	22.0	46.666666666666664
24.0	23.0	114.33333333333333
24.0	24.0	221.33333333333334
24.0	25.0	203.66666666666666
24.0	26.0	85.875
24.0	27.0	364.75
24.0	28.0	80.73913043478261
24.0	29.0	47.833333333333336
24.0	30.0	102.08333333333333
25.0	0.0	54.625
25.0	1.0	107.95833333333333
25.0	2.0	196.79166666666666
25.0	3.0	294.125
25.0	4.0	32.166666666666664
25.0	5.0	35.166666666666664
25.0	6.0	101.5
25.0	7.0	60.458333333333336
25.0	8.0	36.208333333333336
25.0	9.0	38.125
25.0	10.0	62.375
25.0	11.0	138.54166666666666
25.0	12.0	109.29166666666667
25.0	13.0	225.79166666666666
25.0	14.0	283.125
25.0	15.0	145.08333333333334
25.0	16.0	45.291666666666664
25.0	17.0	111.91666666666667
25.0	18.0	150.75
25.0	19.0	39.708333333333336
25.0	20.0	83.75
25.0	21.0	106.625
25.0	22.0	36.458333333333336
25.0	23.0	43.541666666666664
25.0	24.0	30.541666666666668
25.0	25.0	44.25
25.0	26.0	87.91304347826087
25.0	27.0	34.958333333333336
